Sample Name,CJ001,CJ002,CJ003,CJ004,CJ005,CJ006,CJ007,CJ008,CJ009,CJ010,CJ011,CJ012,CJ013,CJ014,CJ015,CJ016,CJ017,CJ018
Treatment,Ca,Ca,Ca,Ca,Ca,Ca,Ca,Ca,Ca,None,None,None,None,None,None,None,None,None
Elevation,High,High,High,Low,Low,Low,Spruce Fir,Spruce Fir,Spruce Fir,High,High,High,Low,Low,Low,Spruce Fir,Spruce Fir,Spruce Fir
Depth,Mineral,Oa/A,Oi/Oe,Mineral,Oa/A,Oi/Oe,Mineral,Oa/A,Oi/Oe,Mineral,Oa/A,Oi/Oe,Mineral,Oa/A,Oi/Oe,Mineral,Oa/A,Oi/Oe
Gene9896,60.41471482,86.53216431,97.47799527,79.11121696,92.53907353,93.30606723,60.58409898,65.01530956,75.31836283,65.63961643,72.68534698,85.37030304,68.84481782,70.24533827,86.61048289,68.23476244,55.23321418,67.54808325
Gene9897,27.60063113,34.30924409,39.73287851,24.08922869,29.06986603,44.76806256,27.3055094,37.38975678,47.31189579,26.52692463,30.81226665,37.38845388,28.05386019,30.8394168,50.50245059,20.61922728,39.85902054,40.14906153
Gene9898,166.5238078,187.0309236,207.9353975,159.5911401,150.9210545,202.398767,158.7132734,167.4203759,194.9576395,163.6149731,186.7170689,180.7108604,148.9756713,158.4803363,220.3077917,180.2588117,199.4849076,183.9261062
Gene9899,166.5238078,187.0309236,207.9353975,159.5911401,150.9210545,202.398767,158.7132734,167.4203759,194.9576395,163.6149731,186.7170689,180.7108604,148.9756713,158.4803363,220.3077917,180.2588117,199.4849076,183.9261062
Gene9900,166.5238078,187.0309236,207.9353975,159.5911401,150.9210545,202.398767,158.7132734,167.4203759,194.9576395,163.6149731,186.7170689,180.7108604,148.9756713,158.4803363,220.3077917,180.2588117,199.4849076,183.9261062
Gene9901,5.520126227,0,0.264885857,4.653600998,4.360479905,0,3.128756285,3.095967122,0,8.132341859,4.213643303,2.180993143,2.579665305,2.784114017,1.707812339,12.96673056,0,0.542554886
Gene9902,300.5402057,309.0868185,387.5280084,310.1488194,338.4216904,360.5007143,345.5853533,360.3229427,412.4835972,293.3451885,368.1670836,360.1754391,311.8170437,364.7189362,366.9356796,366.0444266,425.3526906,400.4055055
Gene9903,39.25423095,8.197783987,1.854200997,33.12268945,31.97685263,0.471242764,20.19469966,12.86017112,1.359537235,46.66415209,11.85087179,14.02067021,18.86380254,18.41798503,3.659597869,46.34011904,17.84165681,6.239381184
Gene9904,0.920021038,2.125351404,4.238173707,2.463671116,2.66473772,2.356213819,2.275459117,1.905210536,4.894334047,0.580881561,1.053410826,2.180993143,0.644916326,1.713300933,1.707812339,2.338262887,2.467463176,2.712774428
Gene9905,17.7870734,21.25351404,24.36949882,15.32950917,13.3236886,20.97030299,26.45221223,25.24403961,16.04253938,10.64949529,20.2781584,14.95538155,27.57017294,20.13128597,29.03280976,29.12200142,35.68331363,22.78730519
Gene9906,276.9263324,306.9614671,300.1156757,276.2049063,282.4621983,318.7957297,303.7737921,288.401245,304.5363407,301.090276,331.2977047,329.6415351,291.8246376,289.7620204,322.5325588,279.103561,289.2626062,314.1392787
Gene9907,0,2.732594662,6.357260561,3.284894822,2.906986603,8.71799113,2.559891506,2.143361854,5.981963835,5.227934052,5.793759542,3.738845388,2.902123468,5.996553267,5.85535659,2.125693534,3.226682615,7.86704584
Gene9908,410.9427302,398.3515775,394.4150406,450.5780731,425.3890396,361.4431998,438.3103123,451.0585945,410.3083376,500.9135331,441.1157833,440.2490445,474.497187,428.1110707,416.2182643,503.7893676,469.3874181,430.5173017
Gene9909,15.94703132,13.66297331,14.83360798,12.86583805,15.98842632,16.49349673,7.110809739,15.95613824,14.68300214,11.81125841,12.1142245,9.970254369,10.64111938,14.77722055,13.9064719,10.20332896,11.19848672,13.2925947
Gene9910,15.94703132,13.66297331,14.83360798,12.86583805,15.98842632,16.49349673,7.110809739,15.95613824,14.68300214,11.81125841,12.1142245,9.970254369,10.64111938,14.77722055,13.9064719,10.20332896,11.19848672,13.2925947
Gene9911,410.9427302,398.3515775,394.4150406,450.5780731,425.3890396,361.4431998,438.3103123,451.0585945,410.3083376,500.9135331,441.1157833,440.2490445,474.497187,428.1110707,416.2182643,503.7893676,469.3874181,430.5173017
Gene9912,0.613347359,0.607243258,1.059543427,0,0,0.471242764,1.137729558,0.476302634,0.815722341,0.580881561,1.053410826,0.623140898,0.967374489,0,0.975892765,1.062846767,0.569414579,0.271277443
Gene9913,0,0.303621629,0,0,0,0.235621382,0,0,0,0,0,0,0,0,0.243973191,0,0,0
Gene9914,0,0,0,0,0,0,0,0.238151317,0,0.193627187,0,0,0,0,0,0,0,0
Gene9915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271277443
Gene9916,521.0385811,481.2402822,516.5274206,452.7680029,459.3038833,505.4078641,450.5409051,459.6320419,544.0868016,469.9331831,471.9280499,458.0085601,458.2130497,476.5118221,577.2405705,443.2071019,511.524097,551.5070411
Gene9917,16.253705,13.96659494,17.7473524,16.69821534,18.89541292,25.21148786,27.02107701,16.90874351,19.57733619,9.487732169,13.16763532,19.31736784,16.6065954,19.06047288,15.37031105,15.30499345,16.32321794,26.58518939
Gene9918,0.613347359,0,0,0,1.453493302,0,0,0.238151317,0,1.161763123,0,0,0.161229082,0,0.243973191,2.125693534,0,0
Gene9919,0.920021038,0,0,0,0.242248884,0,0,0,0,1.742644684,0.526705413,0.934711347,0,0,0.731919574,0,0,0
Gene9920,271.0995325,268.0978985,294.8179585,255.4005724,257.0260655,297.3541839,253.4292591,252.6785474,283.8713747,283.2765748,271.2532876,305.6506105,243.9396004,232.3664391,292.2798831,218.5212953,246.9361225,236.8252075
Gene9921,182.7775128,193.4069778,203.6972238,179.0267678,173.6924495,180.9572213,180.330135,195.5222313,206.3777523,188.9801346,202.781584,221.2150188,182.1888621,165.3335401,182.9798934,191.9501261,178.0369584,180.3994994
Gene9922,182.7775128,193.4069778,203.6972238,179.0267678,173.6924495,180.9572213,180.330135,195.5222313,206.3777523,188.9801346,202.781584,221.2150188,182.1888621,165.3335401,182.9798934,191.9501261,178.0369584,180.3994994
Gene9923,900.0872487,941.530672,906.7042875,962.2004415,890.749145,902.1942712,956.2616937,904.4987022,933.4582657,1000.665303,964.397611,990.4824575,934.1612984,899.6971526,936.369108,941.4696662,955.0980541,944.3167783
Gene9924,0,0,0.264885857,0.54748247,0.968995534,0.235621382,0.28443239,0.714453951,0.543814894,0,0.263352706,0,0.483687245,0,0,0.850277414,0.379609719,0.542554886
Gene9925,0.920021038,0.303621629,0.264885857,1.094964941,0.242248884,0.471242764,0.568864779,0,0.271907447,0.580881561,0.263352706,0.934711347,0,0.214162617,0.243973191,0.63770806,0.759219439,0.813832328
Gene9926,7.053494623,1.821729775,1.059543427,10.1284257,5.087226556,0.706864146,3.982053454,2.381513171,0.543814894,10.64949529,4.213643303,4.361986287,4.998101528,4.283252333,1.463839147,6.164511249,3.226682615,2.170219542
