CJ001,CJ002,CJ003,CJ004,CJ005,CJ006,CJ007,CJ008,CJ009,CJ010,CJ011,CJ012,CJ013,CJ014,CJ015,CJ016,CJ017,CJ018
0.481211935,0.055760046,0.151334376,0.332360656,0.085082046,0.132187287,0.195624908,0.16996781,0.195879134,0,0.046625968,0,0.194967477,0,0.082125062,0.03545073,0.101689565,0.229527606
2.406059677,3.680163051,5.599371902,3.18116628,3.786151042,4.141868332,1.907342849,3.314372291,4.21140138,2.305451471,3.263817745,3.279524492,2.673839687,3.329757124,4.681128507,2.906959843,3.05068696,3.488819618
0,0,0,0,0,0.088124858,0,0,0,0,0,0,0,0,0.041062531,0,0,0
18.12564957,17.06257415,19.47168968,20.08407965,17.86722964,19.2552815,21.90998965,23.4130658,18.26572924,23.99006023,18.46388325,20.45798612,20.05379765,19.82719015,19.42257705,23.36203094,23.42249655,19.55575207
0,0.223040185,0.050444792,0,0,0.044062429,0.097812454,0,0,0,0,0,0,0.037838149,0.082125062,0,0.067793044,0
0.053467993,0.055760046,0.050444792,0,0,0.132187287,0,0,0.048969783,0.03341234,0,0.104111889,0,0,0,0,0,0
3.101143584,1.951601618,2.925797931,1.994163937,2.977871606,1.89468445,1.711717942,2.08210567,2.889217226,3.374646355,2.33129839,2.863076937,2.451019713,2.572994141,1.64250123,2.694255464,2.033791307,2.47889815
12.35110634,18.84689563,26.8366293,12.01246371,14.4639478,16.78778547,14.42733694,15.29710288,20.61627885,16.03792327,15.47982131,16.9181819,13.61987091,15.62715559,16.63032496,14.64115141,14.74498698,16.02102693
1.871379749,1.617041341,3.480690642,0.997081968,0.765738413,1.321872872,0.880312084,0.722363192,1.567033072,0.935545524,1.119023227,1.509622385,0.362082458,0.718924834,0.862313146,0.248155109,0.338965218,0.826299383
19.24847742,22.35977854,23.25504907,16.61803281,20.41969101,21.37027809,15.94342997,18.82393493,18.21675946,14.76825435,17.8111197,16.13734274,18.27123786,16.19472783,17.69795076,16.73274446,19.62608611,17.39819257
13.31353021,15.61281294,19.47168968,13.95914756,15.0169811,17.62497162,12.12874427,13.76739259,18.21675946,10.79218587,15.71295115,13.69071335,14.90108576,13.54605739,14.4129483,11.55693791,11.8298861,12.85354596
0,0,0.353113543,0,0.340328184,1.101560726,0.63578095,0.637379287,1.420123721,0.400948082,0.559511614,0.520559443,0,0,0.369562777,0.319056568,0.57624087,0.183622085
14.32942208,11.70960971,7.970277121,16.47559253,12.16673256,9.032797957,14.37843071,12.9600455,9.696017131,16.17157263,9.698201301,10.25502103,15.70880816,13.1676759,12.56513441,15.56287038,14.13484958,11.79771897
80.41586122,109.5127308,145.1801111,79.38671672,86.91130988,140.5591487,80.49964949,91.27271386,130.0637449,71.26852155,101.8311137,98.28162287,69.38056939,87.93585859,103.6828902,57.25292862,79.38565402,93.78498001
0,0.111520092,0.100889584,0,0.085082046,0,0,0.084983905,0,0,0.046625968,0,0,0,0,0.03545073,0,0
67.36967097,62.45125178,59.67618883,61.20184082,61.13144997,60.1892781,56.3399734,60.46604834,61.26119914,64.75311522,63.73769797,55.02313314,58.18386569,60.9950964,51.16391333,53.53060199,52.64129833,53.52583783
22.24268502,32.39658686,40.20449915,23.07532555,27.60912389,30.40307605,19.2690534,27.704753,30.16538663,21.0497743,24.99151874,24.62246166,26.15349444,25.38939807,29.48289709,21.80219882,23.99873742,22.35598887
5.400267276,9.590727952,14.83076882,7.739255279,6.976727763,11.27998184,5.966559683,7.053664107,12.14450631,7.250477813,10.07120904,8.016615425,6.099696787,7.113572037,7.966130968,5.743018227,5.186167833,8.033466227
31.11837183,28.8279439,22.4479324,23.02784546,26.58813934,28.33214189,26.75170612,28.08718057,27.2761694,28.96849891,21.77432696,23.32106305,27.43470929,33.03270419,21.47570359,22.22760758,25.79525308,27.77284038
0,0.613360509,0.403558335,0,0,0.48468672,0.195624908,0,0.97939567,0,0,0,0,0.340543342,0.821250615,0.106352189,0,0
