LA1,LA2,LA3,SA1,SA2,SA3,O1,O2,O3
14.80596969,10.98300654,8.887929077,12.08825747,10.9429446,7.47164561,11.51962096,20.12367972,11.69987717
40.37991734,40.97506287,49.35637211,49.8182732,56.94797702,65.62931955,50.14423243,54.14722069,61.52521616
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
120.7551814,121.8691303,126.1329509,140.6633596,136.6751448,144.384503,145.0116992,149.1641827,145.6432986
276.6985764,333.7144296,321.8564955,338.1048982,343.9211161,393.5739809,246.8812885,245.8408296,286.4452687
276.6985764,333.7144296,321.8564955,338.1048982,343.9211161,393.5739809,246.8812885,245.8408296,286.4452687
276.6985764,333.7144296,321.8564955,338.1048982,343.9211161,393.5739809,246.8812885,245.8408296,286.4452687
50.37875401,37.17325292,36.11903093,32.23535324,35.95538941,25.04010961,44.72323433,46.05625668,45.58917656
1.730567886,0,1.89104874,1.465243329,0,0,2.258749209,1.244763694,0
892.0116025,983.1902973,967.6496401,1006.988478,966.1056807,1028.865794,899.6598098,812.0008498,947.6900509
22.68966784,17.31935647,17.77585815,18.68185245,12.7295478,22.01106409,4.291623496,4.149212314,5.849938586
0,0,0.189104874,0,0,0,0,0,0
32.88078983,35.69477127,29.68946521,20.14709578,32.38218301,29.88658244,49.91835751,39.83243821,40.34440404
0,0.633634993,0.378209748,0,0.8933016,0,1.355249525,0.829842463,1.210332121
0.192285321,0.211211664,0.756419496,0,0,0,0.225874921,0.207460616,0
2.88427981,1.689693314,3.403887731,2.564175826,2.009928601,2.82710915,3.613998734,2.489527388,4.236162424
1540.205418,1609.644094,1609.660687,1536.307631,1641.441691,1618.519988,1523.978091,1497.035803,1511.503097
1540.205418,1609.644094,1609.660687,1536.307631,1641.441691,1618.519988,1523.978091,1497.035803,1511.503097
33.45764579,29.569633,29.87857009,21.97864994,25.90574641,26.65560055,33.42948829,37.96529267,31.06519111
53.26303382,48.57868279,44.25054051,35.1658399,45.78170701,35.94467347,36.8176121,66.1799364,46.19434263
102.8726465,90.60980398,93.41780774,86.44935643,98.48650143,90.46749279,104.3542134,110.7839688,103.8868404
292.4659727,307.3129715,325.0712784,324.9177083,323.3751793,324.9156158,293.4115222,303.3074201,318.3173479
13.45997245,17.31935647,11.15718756,15.38505496,16.74940501,11.3084366,20.32874288,23.44304957,13.51537535
40.76448798,36.32840626,33.09335294,35.53215074,41.98517521,43.41631908,45.62673401,47.50848099,54.66666747
11.53711924,18.58662646,18.1540679,6.593594982,14.2928256,10.09681839,16.71474414,19.50129787,17.75153778
11.53711924,18.58662646,18.1540679,6.593594982,14.2928256,10.09681839,16.71474414,19.50129787,17.75153778
0.192285321,0,0,0,0,0,0,0,0.20172202
11.1525486,10.34937155,13.42644605,10.62301414,17.64270661,14.53941848,10.16437144,15.55954618,24.0049204
11.72940456,6.547561593,9.077033951,9.157770808,5.583135002,5.048409196,11.29374604,9.335727705,8.875768889
0,0,0,0,0,0.403872736,0,0,0
8.652839429,10.13815989,10.96808269,6.22728415,6.923087402,6.058091035,10.61612128,2.904448619,4.639606465
4.037991734,8.8708899,7.942404707,7.692527479,6.476436602,4.846472828,10.39024636,12.86255817,10.69126707
0,0,0.378209748,0,0,0,0,0.207460616,0.605166061
92.87380987,102.4376572,87.9337664,97.80499223,94.01999343,117.7289024,91.02759311,95.2244226,101.4661762
92.87380987,102.4376572,87.9337664,97.80499223,94.01999343,117.7289024,91.02759311,95.2244226,101.4661762
1.153711924,0.633634993,0.567314622,0,2.233254001,0.403872736,0.451749842,1.037303078,0.806888081
24.42023572,11.61664154,15.88480941,19.04816328,21.66256381,19.78976405,18.29586859,17.2192311,20.17220202
67.68443287,63.36349929,46.14158925,57.51080067,52.92811982,50.08021922,58.72747942,68.66946379,62.33210424
1.922853207,0.633634993,0.567314622,0.732621665,3.573206401,1.009681839,0.677624763,1.037303078,2.420664242
746.8361854,817.1779291,826.5774041,851.3063743,806.6513451,907.3001007,680.7870115,647.4845815,792.5658174
0,0,0,0,0,0,5.872747942,0,0
0.961426603,0,1.323734118,1.831554162,1.786603201,0.605809103,0,0,0
0,0.211211664,0,0,0.2233254,0,0,0,0
0,0.633634993,0.378209748,0,0.4466508,0.403872736,0.451749842,0.829842463,0.20172202
229.7809582,223.8843641,234.6791486,206.5993094,211.4891539,201.5324951,229.2630447,215.7590403,223.3062764
122.6780346,110.0412771,116.8668121,113.556358,115.9058826,133.0760664,98.70734042,119.4973146,115.1832735
0.384570641,0.422423329,1.323734118,1.098932497,1.116627,0,1.806999367,0.207460616,0
94.60437776,99.05827055,99.84737346,93.40926224,103.6229856,112.6804932,96.44859121,94.18711952,102.8782303
0,0,0,0.366310832,0.2233254,0,0,0.622381847,0
26.72765957,34.42750128,41.79217715,35.53215074,44.44175461,47.45504644,29.13786479,20.95352218,29.24969293
1429.449074,1724.332027,1692.488622,1455.352937,1496.950157,1614.077388,1510.199721,1413.221714,1595.822902
0.769141283,0.211211664,0.756419496,1.098932497,0.8933016,0.807745471,0.903499683,1.45222431,0.20172202
0,0.211211664,0,0,0,0,0.451749842,0,0
1126.599694,1215.73434,1233.909303,1217.617207,1204.617208,1290.777263,1117.177359,1176.09423,1243.616255
208.8218582,209.521971,230.7079462,228.9442702,249.9011227,226.168732,213.4518002,231.1111259,246.5043087
518.0166538,582.3105584,556.1574343,505.1426378,542.010746,515.7454834,509.7996964,543.3393525,507.1291588
9.998836674,9.926948222,7.564194959,8.791459976,12.0595716,13.93360938,9.938496518,7.261121549,10.89298909
0.576855962,0.211211664,1.134629244,0,0.6699762,0.403872736,0,0.414921231,1.613776162
1.730567886,1.47848165,0.94552437,2.197864994,0.4466508,1.211618207,0,2.696988004,2.017220202
32.49621919,12.46148819,19.66690689,6.959905814,1.3399524,2.625172782,0,1.244763694,1.613776162
0,0,0,0,0,1.413554575,1.806999367,0,0
215.3595591,190.7241329,192.130552,215.7570802,232.9283923,209.6099498,228.5854199,261.815297,246.7060307
1.730567886,1.056058321,3.971202353,0,0,0,0,0,0
215.3595591,190.7241329,192.130552,215.7570802,232.9283923,209.6099498,228.5854199,261.815297,246.7060307
338.0375937,388.207039,395.7965012,447.2655263,403.7723233,428.9128453,382.406241,388.5737332,375.6064016
0,0,0,0,0.8933016,0,0,0,0
